"country_txt","Terrorattac","suicide","GDP_Cap","FHI","Population","Urban_Pop"
"Afghanistan",1776,110,520.896602719135,35,37172386,25.495
"Algeria",7,0,4114.71506136896,36,42228429,72.629
"Argentina",5,0,11683.9496216363,81,44494502,91.87
"Armenia",1,1,4212.07094272937,41,2951776,63.149
"Australia",3,0,57373.6866841281,96,24982688,86.012
"Austria",1,0,51461.9547804677,98,8840521,58.297
"Azerbaijan",1,0,4721.17808673142,32,9939800,55.68
"Bahrain",1,0,24050.7575053956,36,1569439,89.287
"Bangladesh",33,0,1698.26280233547,53,161356039,36.632
"Belgium",3,0,47518.6360388914,98,11433256,98.001
"Bolivia",2,0,3548.59013979338,71,11353142,69.425
"Bosnia-Herzegovina",2,0,NA,NA,NA,NA
"Brazil",11,1,8920.76210462979,76,209469333,86.569
"Bulgaria",1,0,9272.62930360848,85,7025037,75.008
"Burkina Faso",70,1,715.12290404614,54,19751535,29.358
"Burundi",10,0,271.752044376648,45,11175378,13.032
"Cambodia",1,0,1510.3248705764,35,16249798,23.388
"Cameroon",235,7,1533.74213975885,27,25216237,56.374
"Canada",6,0,46232.9896226967,99,37057765,81.411
"Central African Republic",46,0,475.721250544318,43,4666377,41.364
"Chad",12,0,728.343235359289,22,15477751,23.059
"Chile",45,0,15923.3587375381,97,18729160,87.564
"China",1,0,9770.84708783314,17,1392730000,59.152
"Colombia",205,0,6667.7906995498,62,49648685,80.778
"Comoros",2,0,1415.26362231562,54,832322,28.965
"Democratic Republic of the Congo",163,0,NA,NA,NA,NA
"Denmark",1,0,61350.3479093986,98,5793636,87.874
"Ecuador",10,0,6344.87197850057,69,17084357,63.821
"Egypt",54,6,NA,27,NA,NA
"Ethiopia",10,0,772.313530261357,34,109224559,20.763
"Finland",1,0,50152.3401411303,100,5515525,85.382
"France",13,0,41463.6440227034,94,66977107,80.444
"Georgia",1,0,4717.14302573577,62,3726549,58.632
"Germany",22,0,47603.0276328757,96,82905782,77.312
"Ghana",2,0,2202.31216442504,84,29767108,56.06
"Greece",27,0,20324.2535641478,89,10731726,79.058
"Guatemala",2,0,4549.01008110721,57,17247807,51.054
"Guinea",2,0,878.599613250501,32,12414318,36.14
"Haiti",5,0,868.34202469407,42,11123176,55.278
"India",888,2,2009.97885727039,76,1352617328,34.03
"Indonesia",43,5,3893.59607757239,65,267663435,55.325
"Iran",13,2,NA,23,NA,NA
"Iraq",1362,64,5834.16621076061,22,38433600,70.473
"Ireland",5,0,78806.431996268,97,4867309,63.17
"Israel",63,0,41715.0292840432,84,8882800,92.418
"Italy",14,0,34483.2039992043,92,60421760,70.438
"Ivory Coast",2,0,NA,NA,NA,NA
"Japan",1,0,39289.9584346358,88,126529100,91.616
"Jordan",2,0,4241.78878213854,42,9956011,90.979
"Kenya",52,0,1710.51009699405,64,51393010,27.03
"Kosovo",2,0,4302.27648252378,NA,1845300,NA
"Kyrgyzstan",1,0,NA,46,NA,NA
"Lebanon",7,0,8269.78767551923,51,6848925,88.593
"Libya",166,12,7241.70448113024,8,6678567,80.102
"Lithuania",1,0,19153.4089860651,90,2801543,67.679
"Malawi",2,0,389.398033178836,58,18143315,16.937
"Malaysia",7,0,11373.2330025676,48,31528585,76.036
"Maldives",2,0,10330.615614094,34,515696,39.808
"Mali",164,7,899.659908096615,74,19077690,42.356
"Mauritania",1,0,1188.83458753973,46,4403319,53.672
"Mexico",27,0,9673.44367360619,76,126190788,80.156
"Montenegro",3,1,8844.23698538056,65,622227,66.813
"Morocco",1,0,3222.20063433213,45,36029138,62.453
"Mozambique",63,0,498.957220208652,58,29495962,35.988
"Myanmar",39,0,1325.9529237064,4,53708395,30.579
"Nepal",99,0,1033.91243082634,45,28087871,19.74
"Netherlands",6,2,53024.0592130531,99,17231624,91.49
"New Caledonia",18,0,NA,NA,284060,70.683
"Nicaragua",7,0,2028.89475539369,67,6465513,58.522
"Niger",19,1,413.980304962089,64,22442948,16.425
"Nigeria",645,60,2028.18197017598,51,195874740,50.344
"Pakistan",480,25,1482.40306306798,35,212215030,36.666
"Paraguay",4,0,5821.81432292324,63,6956071,61.585
"Peru",5,0,6941.23584763012,73,31989256,77.907
"Philippines",601,1,3102.71336329931,69,106651922,46.907
"Poland",1,0,15420.9111634295,91,37974750,60.058
"Russia",23,4,NA,34,NA,NA
"Rwanda",5,0,772.944459929187,33,12301939,17.211
"Saudi Arabia",92,0,23338.9634580718,13,33699947,83.844
"Senegal",3,0,1521.95355421391,76,15854360,47.192
"Serbia",2,0,7246.73165586437,76,6982604,56.092
"Slovak Republic",1,0,19442.7057620693,NA,5446771,53.726
"Somalia",527,30,314.544165670763,4,15008154,44.971
"South Africa",41,0,6374.02819575944,86,57779622,66.355
"South Korea",1,0,NA,87,NA,NA
"South Sudan",39,0,NA,NA,10975920,19.615
"Spain",2,0,30370.8923252247,96,46796540,80.321
"Sri Lanka",7,0,4102.48135014467,56,21670000,18.476
"Sudan",42,0,977.273635724417,10,41801533,34.642
"Sweden",5,0,54608.3602546906,100,10175214,87.431
"Switzerland",1,0,82796.5471631285,99,8513227,73.797
"Syria",232,20,NA,9,NA,NA
"Taiwan",3,0,NA,89,NA,NA
"Tajikistan",3,0,826.621530538704,28,9100837,27.134
"Tanzania",3,0,1060.99461489421,58,56318348,33.776
"Thailand",182,0,7273.56320732092,36,69428524,49.949
"Trinidad and Tobago",1,0,17129.9130902577,80,1389858,53.184
"Tunisia",19,3,3447.50790975551,24,11565204,68.945
"Turkey",94,0,9370.1763438282,65,82319724,75.143
"Uganda",10,0,642.776744292007,46,42723139,23.774
"Ukraine",34,0,3095.17358053586,73,44622516,69.352
"United Kingdom",100,0,42943.9022698053,98,66460344,83.398
"United States",67,0,62794.5856522398,93,326687501,82.256
"Venezuela",12,0,NA,51,NA,NA
"Vietnam",1,0,2566.59694958511,21,95540395,35.919
"West Bank and Gaza Strip",117,0,NA,NA,NA,NA
"Western Sahara",2,0,NA,NA,NA,NA
"Yemen",325,5,NA,33,NA,NA
"Zimbabwe",2,0,2146.99638487707,13,14439018,32.209
